premise,layer,head,factual%,cf%,delta
verify,11,6,72.8,27.2,0.8455655862092972
verify,11,7,72.2,27.8,0.8287260855436325
verify,11,8,73.2,26.8,0.8383692294359207
verify,11,9,72.8,27.2,0.837079451918602
verify,11,10,73.0,27.0,0.836866547703743
verify,11,11,72.6,27.4,0.8357913528680802
confirm,0,0,72.6,27.4,0.8501900510787964
confirm,0,1,71.8,28.2,0.7565046401023865
confirm,0,2,73.6,26.4,0.910614117860794
confirm,0,3,72.2,27.8,0.8591729432344437
confirm,0,4,71.8,28.2,0.8090694700479507
confirm,0,5,73.0,27.0,0.8399825568199157
confirm,0,6,73.2,26.8,0.8645061627626419
confirm,0,7,73.2,26.8,0.877346602678299
confirm,0,8,72.0,28.0,0.8410819746255874
confirm,0,9,73.8,26.2,0.9029453409910202
confirm,0,10,74.0,26.0,0.9000199255943299
confirm,0,11,73.0,27.0,0.8577676019668579
confirm,1,0,73.6,26.4,0.8950177035331726
confirm,1,1,72.4,27.6,0.8723885029554367
confirm,1,2,72.8,27.2,0.8408924394845962
confirm,1,3,72.6,27.4,0.8320186557769775
confirm,1,4,73.4,26.6,0.8746544373035431
confirm,1,5,72.4,27.6,0.8511315187215805
confirm,1,6,73.0,27.0,0.8481156332492829
confirm,1,7,72.8,27.2,0.8247819254398346
confirm,1,8,72.6,27.4,0.8542710479497909
confirm,1,9,73.2,26.8,0.8663041566610337
confirm,1,10,72.2,27.8,0.8474019092321395
confirm,1,11,72.6,27.4,0.8136187987327576
confirm,2,0,72.6,27.4,0.8375289158821106
confirm,2,1,72.6,27.4,0.8636407573223114
confirm,2,2,72.6,27.4,0.8224066728353501
confirm,2,3,73.2,26.8,0.8305283148288727
confirm,2,4,72.6,27.4,0.8015139750242233
confirm,2,5,72.8,27.2,0.7892288391590119
confirm,2,6,72.8,27.2,0.8567479053735733
confirm,2,7,73.2,26.8,0.7998292070627212
confirm,2,8,72.0,28.0,0.8123811784982681
confirm,2,9,73.6,26.4,0.8755396246910095
confirm,2,10,72.4,27.6,0.8236090027093887
confirm,2,11,71.8,28.2,0.7793222358226776
confirm,3,0,72.4,27.6,0.8299528130292892
confirm,3,1,73.2,26.8,0.8317784736156464
confirm,3,2,72.6,27.4,0.8173264636993408
confirm,3,3,74.0,26.0,0.8915527807474136
confirm,3,4,73.8,26.2,0.8562465020418167
confirm,3,5,73.2,26.8,0.8838807617425919
confirm,3,6,72.6,27.4,0.8161713918447494
confirm,3,7,73.6,26.4,0.8623113453388214
confirm,3,8,73.0,27.0,0.8501676808595657
confirm,3,9,73.0,27.0,0.8449705946445465
confirm,3,10,73.4,26.6,0.8693468869924545
confirm,3,11,70.2,29.8,0.7240794851779938
confirm,4,0,71.2,28.8,0.7779756789207458
confirm,4,1,72.2,27.8,0.8153076511621475
confirm,4,2,73.2,26.8,0.8362247335910797
confirm,4,3,72.8,27.2,0.8344241786003113
confirm,4,4,72.0,28.0,0.8480817263126373
confirm,4,5,72.4,27.6,0.8282204910516738
confirm,4,6,74.6,25.4,0.9184308326244355
confirm,4,7,73.6,26.4,0.8696296486854553
confirm,4,8,74.6,25.4,0.9017406568527222
confirm,4,9,71.4,28.6,0.733976578950882
confirm,4,10,72.8,27.2,0.8677985084056854
confirm,4,11,72.8,27.2,0.8472498408555984
confirm,5,0,71.8,28.2,0.7800064779520035
confirm,5,1,73.8,26.2,0.8857926372289657
confirm,5,2,73.2,26.8,0.8424725340604782
confirm,5,3,72.6,27.4,0.8005508126020432
confirm,5,4,73.2,26.8,0.863128561258316
confirm,5,5,72.2,27.8,0.7964851356744767
confirm,5,6,73.2,26.8,0.8539037507772446
confirm,5,7,72.8,27.2,0.8428166525363923
confirm,5,8,74.0,26.0,0.9065924761295319
confirm,5,9,72.6,27.4,0.8410760740041733
confirm,5,10,73.6,26.4,0.8861194572448731
confirm,5,11,71.8,28.2,0.7812961605787277
confirm,6,0,73.0,27.0,0.8635400211811066
confirm,6,1,73.8,26.2,0.8971838806867599
confirm,6,2,74.2,25.8,0.8914278606176377
confirm,6,3,71.8,28.2,0.7965991493463517
confirm,6,4,71.6,28.4,0.7831460409164429
confirm,6,5,73.6,26.4,0.8520840072631836
confirm,6,6,74.0,26.0,0.8862419422864914
confirm,6,7,73.0,27.0,0.8606604619026184
confirm,6,8,75.2,24.8,0.9263004274368286
confirm,6,9,73.0,27.0,0.8348078279495239
confirm,6,10,71.2,28.8,0.7707935001850128
confirm,6,11,73.2,26.8,0.8722681461572647
confirm,7,0,72.4,27.6,0.8849135395288468
confirm,7,1,72.2,27.8,0.8223478558063507
confirm,7,2,73.4,26.6,0.8634717483520508
confirm,7,3,73.4,26.6,0.8934486852884292
confirm,7,4,71.6,28.4,0.7976960014104844
confirm,7,5,72.8,27.2,0.828826463341713
confirm,7,6,74.2,25.8,0.9042709735631943
confirm,7,7,72.6,27.4,0.8549833362102508
confirm,7,8,74.0,26.0,0.8728490599393844
confirm,7,9,72.6,27.4,0.8748817102909088
confirm,7,10,72.2,27.8,0.8558929899930954
confirm,7,11,71.4,28.6,0.7495535037517548
confirm,8,0,70.8,29.2,0.7758695672750473
confirm,8,1,73.8,26.2,0.869895205616951
confirm,8,2,70.6,29.4,0.7696955572366715
confirm,8,3,71.4,28.6,0.7565682225227356
confirm,8,4,72.2,27.8,0.8515729050636291
confirm,8,5,73.6,26.4,0.9289737280607223
confirm,8,6,73.8,26.2,0.8831993622779846
confirm,8,7,73.2,26.8,0.862480058312416
confirm,8,8,72.6,27.4,0.8297585465908051
confirm,8,9,72.0,28.0,0.7939918020963669
confirm,8,10,73.2,26.8,0.938811032295227
confirm,8,11,72.0,28.0,0.7439443213939667
confirm,9,0,73.2,26.8,0.8395304538011551
confirm,9,1,73.0,27.0,0.8960532940626145
confirm,9,2,73.2,26.8,0.875110317826271
confirm,9,3,71.4,28.6,0.8324603105783462
confirm,9,4,73.4,26.6,0.868841166973114
confirm,9,5,73.2,26.8,0.8437841167449951
confirm,9,6,73.0,27.0,0.9084617341756821
confirm,9,7,73.2,26.8,0.8694675904512406
confirm,9,8,72.8,27.2,0.8337351858615876
confirm,9,9,73.0,27.0,0.8578809471130371
confirm,9,10,74.2,25.8,0.9084082686901093
confirm,9,11,72.4,27.6,0.8045538630485535
confirm,10,0,72.0,28.0,0.7852829459905625
confirm,10,1,71.8,28.2,0.8003786603212356
confirm,10,2,73.0,27.0,0.8396497957706451
confirm,10,3,71.8,28.2,0.7835997611284256
confirm,10,4,73.8,26.2,0.8771280363798142
confirm,10,5,72.8,27.2,0.8117267864942551
confirm,10,6,72.4,27.6,0.8654761955738067
confirm,10,7,72.4,27.6,0.8238719717264176
confirm,10,8,73.2,26.8,0.8223790884017944
confirm,10,9,72.6,27.4,0.7946176135540008
confirm,10,10,73.2,26.8,0.8670204766988754
confirm,10,11,72.4,27.6,0.810383253455162
confirm,11,0,72.8,27.2,0.8284512323141098
confirm,11,1,71.4,28.6,0.847468445777893
confirm,11,2,72.4,27.6,0.8215914536714554
confirm,11,3,73.8,26.2,0.8296194958686829
confirm,11,4,72.8,27.2,0.846815225481987
confirm,11,5,72.0,28.0,0.8235913988351822
confirm,11,6,72.8,27.2,0.8455655862092972
confirm,11,7,72.2,27.8,0.8287260855436325
confirm,11,8,73.2,26.8,0.8383692294359207
confirm,11,9,72.8,27.2,0.837079451918602
confirm,11,10,73.0,27.0,0.836866547703743
confirm,11,11,72.6,27.4,0.8357913528680802
