premise,layer,head,factual%,cf%,delta
verify,7,5,74.4,25.6,1.0833868842124939
verify,7,6,75.0,25.0,1.145519819021225
verify,7,7,75.4,24.6,1.1457381476163864
verify,7,8,75.2,24.8,1.1459007662534715
verify,7,9,75.4,24.6,1.1264190989732743
verify,7,10,75.2,24.8,1.1370545980930329
verify,7,11,74.4,25.6,1.0769522988796234
verify,8,0,74.6,25.4,1.0792619109153747
verify,8,1,75.0,25.0,1.135675339460373
verify,8,2,74.4,25.6,1.0863221468925477
verify,8,3,74.0,26.0,1.0643383793830872
verify,8,4,75.6,24.4,1.149674395084381
verify,8,5,75.6,24.4,1.1837334498167038
verify,8,6,75.4,24.6,1.1312692292928697
verify,8,7,75.0,25.0,1.153721086859703
verify,8,8,75.2,24.8,1.1160124020576476
verify,8,9,74.4,25.6,1.0761700257062912
verify,8,10,75.8,24.2,1.211485816001892
verify,8,11,73.8,26.2,1.0639199810028077
verify,9,0,75.2,24.8,1.143520449757576
verify,9,1,75.4,24.6,1.1801159524917602
verify,9,2,75.2,24.8,1.1639560265541076
verify,9,3,73.8,26.2,1.121324635744095
verify,9,4,75.4,24.6,1.153264145731926
verify,9,5,75.6,24.4,1.1266931545734407
verify,9,6,75.4,24.6,1.1662041797637939
verify,9,7,74.8,25.2,1.1479663825035096
verify,9,8,76.2,23.8,1.1185480709075928
verify,9,9,75.6,24.4,1.1268074309825897
verify,9,10,75.4,24.6,1.1929930365085601
verify,9,11,74.6,25.4,1.0910737278461455
verify,10,0,74.0,26.0,1.0697934277057648
verify,10,1,74.6,25.4,1.0845502457618714
verify,10,2,75.2,24.8,1.117066794037819
verify,10,3,74.0,26.0,1.0719554597139358
verify,10,4,76.2,23.8,1.1563192181587219
verify,10,5,75.4,24.6,1.0976256804466247
verify,10,6,75.6,24.4,1.1413968609571457
verify,10,7,73.8,26.2,1.1096486443281173
verify,10,8,76.0,24.0,1.0953093050718308
verify,10,9,75.0,25.0,1.0768411648273468
verify,10,10,75.0,25.0,1.1425120459794997
verify,10,11,73.8,26.2,1.0907024564743042
verify,11,0,75.0,25.0,1.107116238117218
verify,11,1,74.8,25.2,1.1276050612926483
verify,11,2,74.2,25.8,1.0995532621145248
verify,11,3,75.4,24.6,1.1106383665800095
verify,11,4,75.2,24.8,1.1273922773599625
verify,11,5,75.0,25.0,1.1011463820934295
verify,11,6,74.8,25.2,1.125150503396988
verify,11,7,74.8,25.2,1.1028136993646622
verify,11,8,75.0,25.0,1.1200111348628998
verify,11,9,74.4,25.6,1.1188017411231994
verify,11,10,74.8,25.2,1.1217755824327469
verify,11,11,75.0,25.0,1.1165981794595718
confirm,0,0,75.4,24.6,1.1738381150960921
confirm,0,1,73.6,26.4,1.0943542773723602
confirm,0,2,75.2,24.8,1.1656699894666671
